iters,fevals,fitness
0,2000,3394.1176662988273
10,4191,3398.686874133583
20,6382,3389.62969093083
30,8573,3418.4448187202606
40,10764,3394.3377852249846
50,12955,3373.039527174584
60,15146,3394.3377852249846
70,17337,3399.897131774038
80,19528,3399.897131774038
90,21719,3399.897131774038
100,23910,3399.897131774038
110,26101,3411.759880490225
120,28292,3421.1953898244387
130,30483,3399.897131774038
140,32674,3399.897131774038
150,34865,3421.1953898244387
160,37056,3406.5558375463766
170,39247,3406.5558375463766
180,41438,3417.204966571577
190,43629,3417.204966571577
200,45820,3417.204966571577
210,48011,3417.204966571577
220,50202,3427.8540955967774
230,52393,3427.8540955967774
240,54584,3417.204966571577
250,56775,3417.204966571577
260,58966,3417.204966571577
270,61157,3417.204966571577
280,63348,3417.204966571577
290,65539,3417.204966571577
300,67730,3418.153895012268
310,69921,3417.204966571577
320,72112,3417.204966571577
330,74303,3417.204966571577
340,76494,3417.204966571577
350,78685,3417.204966571577
360,80876,3417.204966571577
370,83067,3417.204966571577
380,85258,3417.204966571577
390,87449,3417.204966571577
400,89640,3417.204966571577
410,91831,3417.204966571577
420,94022,3427.8540955967774
430,96213,3436.1869710171404
440,98404,3417.204966571577
450,100595,3417.204966571577
460,102786,3417.204966571577
470,104977,3417.204966571577
480,107168,3417.204966571577
490,109359,3421.6776830339877
500,111550,3448.5219979347353
510,113741,3422.2177010161877
520,115932,3417.204966571577
530,118123,3460.867376989925
540,120314,3447.461852798574
550,122505,3471.5165060151257
560,124696,3471.5165060151257
570,126887,3460.867376989925
580,129078,3460.867376989925
590,131269,3460.867376989925
600,133460,3478.653482460751
610,135651,3460.867376989925
620,137842,3470.873615330153
630,140033,3460.867376989925
640,142224,3460.867376989925
650,144415,3460.867376989925
660,146606,3460.867376989925
670,148797,3460.867376989925
680,150988,3460.867376989925
690,153179,3460.867376989925
700,155370,3460.867376989925
710,157561,3460.867376989925
720,159752,3460.867376989925
730,161943,3460.867376989925
740,164134,3460.867376989925
750,166325,3471.5165060151257
760,168516,3471.5165060151257
770,170707,3460.867376989925
780,172898,3468.425723006242
790,175089,3460.867376989925
800,177280,3460.867376989925
810,179471,3460.867376989925
820,181662,3460.867376989925
830,183853,3460.867376989925
840,186044,3460.867376989925
850,188235,3460.867376989925
860,190426,3460.867376989925
870,192617,3460.867376989925
880,194808,3460.867376989925
890,196999,3460.867376989925
900,199190,3460.867376989925
910,201381,3460.867376989925
920,203572,3460.867376989925
930,205763,3460.867376989925
940,207954,3460.867376989925
950,210145,3460.867376989925
960,212336,3460.867376989925
970,214527,3460.867376989925
980,216718,3460.867376989925
990,218909,3460.867376989925
1000,221100,3471.5165060151257
1010,223291,3460.867376989925
1020,225482,3460.867376989925
1030,227673,3460.867376989925
1040,229864,3471.5165060151257
1050,232055,3490.9620749485107
1060,234246,3460.867376989925
1070,236437,3460.867376989925
1080,238628,3460.867376989925
1090,240819,3460.9023211088547
1100,243010,3460.867376989925
1110,245201,3460.867376989925
1120,247392,3460.867376989925
1130,249583,3460.867376989925
1140,251774,3460.867376989925
1150,253965,3460.867376989925
1160,256156,3460.867376989925
1170,258347,3467.986767651416
1180,260538,3460.867376989925
1190,262729,3471.5165060151257
1200,264920,3460.867376989925
1210,267111,3460.867376989925
1220,269302,3460.867376989925
1230,271493,3460.867376989925
1240,273684,3460.867376989925
1250,275875,3460.867376989925
1260,278066,3460.867376989925
1270,280257,3460.867376989925
1280,282448,3460.867376989925
1290,284639,3460.867376989925
1300,286830,3471.5165060151257
1310,289021,3460.867376989925
1320,291212,3460.867376989925
1330,293403,3460.867376989925
1340,295594,3460.867376989925
1350,297785,3460.867376989925
1360,299976,3460.867376989925
1370,302167,3460.867376989925
1380,304358,3460.867376989925
1390,306549,3460.867376989925
1400,308740,3471.5165060151257
1410,310931,3460.867376989925
1420,313122,3460.867376989925
1430,315313,3460.867376989925
1440,317504,3460.867376989925
1450,319695,3460.867376989925
1460,321886,3460.867376989925
1470,324077,3460.867376989925
1480,326268,3460.867376989925
1490,328459,3460.867376989925
1500,330650,3460.867376989925
1510,332841,3460.867376989925
1520,335032,3460.867376989925
1530,337223,3460.867376989925
1540,339414,3478.9051453545044
1550,341605,3460.867376989925
1560,343796,3460.867376989925
1570,345987,3464.140265061109
1580,348178,3460.867376989925
1590,350369,3460.867376989925
1600,352560,3460.867376989925
1610,354751,3460.867376989925
1620,356942,3460.867376989925
1630,359133,3460.867376989925
1640,361324,3478.9051453545044
1650,363515,3460.867376989925
1660,365706,3460.867376989925
1670,367897,3460.867376989925
1680,370088,3460.867376989925
1690,372279,3460.867376989925
1700,374470,3460.867376989925
1710,376661,3460.867376989925
1720,378852,3460.867376989925
1730,381043,3471.5165060151257
1740,383234,3460.867376989925
1750,385425,3468.997530285699
1760,387616,3460.867376989925
1770,389807,3460.867376989925
1780,391998,3460.867376989925
1790,394189,3477.4871308336074
1800,396380,3493.082804429832
1810,398571,3460.867376989925
1820,400762,3460.867376989925
1830,402953,3471.5165060151257
1840,405144,3460.867376989925
1850,407335,3460.867376989925
1860,409526,3460.867376989925
1870,411717,3460.867376989925
1880,413908,3490.2925022545555
1890,416099,3460.867376989925
1900,418290,3477.6496289198067
1910,420481,3471.5165060151257
1920,422672,3460.867376989925
1930,424863,3471.5165060151257
1940,427054,3460.867376989925
1950,429245,3460.867376989925
1960,431436,3471.5165060151257
1970,433627,3461.104371235447
1980,435818,3460.867376989925
1990,438009,3460.867376989925
2000,440200,3460.867376989925
2010,442391,3460.867376989925
2020,444582,3471.5165060151257
2030,446773,3471.5165060151257
2040,448964,3471.5165060151257
2050,451155,3471.7139482202547
2060,453346,3471.5165060151257
2070,455537,3471.5165060151257
2080,457728,3471.5165060151257
2090,459919,3471.5165060151257
2100,462110,3471.5165060151257
2110,464301,3480.1047298344565
2120,466492,3483.4740004669043
2130,468683,3471.5165060151257
2140,470874,3471.5165060151257
2150,473065,3471.5165060151257
2160,475256,3471.5165060151257
2170,477447,3471.5165060151257
2180,479638,3471.5165060151257
2190,481829,3475.183506228843
2200,484020,3473.9611728242703
2210,486211,3473.9611728242703
2220,488402,3473.9611728242703
2230,490593,3493.078449791009
2240,492784,3507.1415003367624
2250,494975,3507.1415003367624
2260,497166,3507.1415003367624
2270,499357,3507.1415003367624
2280,501548,3507.1415003367624
2290,503739,3510.0312330743677
2300,505930,3510.0312330743677
2310,508121,3507.1415003367624
2320,510312,3507.1415003367624
2330,512503,3510.0312330743677
2340,514694,3507.1415003367624
2350,516885,3507.1415003367624
2360,519076,3507.1415003367624
2370,521267,3507.1415003367624
2380,523458,3507.1415003367624
2390,525649,3507.1415003367624
2400,527840,3507.1415003367624
2410,530031,3510.0312330743677
2420,532222,3510.0312330743677
2430,534413,3510.0312330743677
2440,536604,3510.0312330743677
2450,538795,3510.0312330743677
2460,540986,3510.0312330743677
2470,543177,3510.0312330743677
2480,545368,3510.0312330743677
2490,547559,3510.0312330743677
2500,549750,3510.0312330743677
2510,551941,3510.0312330743677
2520,554132,3510.0312330743677
2530,556323,3511.4492475952648
2540,558514,3510.0312330743677
2550,560705,3510.0312330743677
2560,562896,3510.0312330743677
2570,565087,3510.0312330743677
2580,567278,3510.0312330743677
2590,569469,3510.0312330743677
2600,571660,3510.0312330743677
2610,573851,3510.0312330743677
2620,576042,3510.0312330743677
2630,578233,3510.0312330743677
2640,580424,3510.0312330743677
2650,582615,3510.0312330743677
2660,584806,3510.0312330743677
2670,586997,3510.0312330743677
2680,589188,3510.0312330743677
2690,591379,3510.0312330743677
2700,593570,3510.0312330743677
2710,595761,3510.0312330743677
2720,597952,3510.0312330743677
2730,600143,3510.0312330743677
2740,602334,3510.0312330743677
2750,604525,3510.0312330743677
2760,606716,3524.510344992183
2770,608907,3510.0312330743677
2780,611098,3510.0312330743677
2790,613289,3510.0312330743677
2800,615480,3510.0312330743677
2810,617671,3510.0312330743677
2820,619862,3510.0312330743677
2830,622053,3510.0312330743677
2840,624244,3510.0312330743677
2850,626435,3510.0312330743677
2860,628626,3510.0312330743677
2870,630817,3510.0312330743677
2880,633008,3515.8691077437634
2890,635199,3510.0312330743677
2900,637390,3510.0312330743677
2910,639581,3510.0312330743677
2920,641772,3510.0312330743677
2930,643963,3510.0312330743677
2940,646154,3510.0312330743677
2950,648345,3510.0312330743677
2960,650536,3510.0312330743677
2970,652727,3510.0312330743677
2980,654918,3510.0312330743677
2990,657109,3510.0312330743677
3000,659300,3510.0312330743677
3010,661491,3510.0312330743677
3020,663682,3522.0491512233757
3030,665873,3510.0312330743677
3040,668064,3510.0312330743677
3050,670255,3510.0312330743677
3060,672446,3510.0312330743677
3070,674637,3510.0312330743677
3080,676828,3510.0312330743677
3090,679019,3510.0312330743677
3100,681210,3510.0312330743677
3110,683401,3510.0312330743677
3120,685592,3510.0312330743677
3130,687783,3510.0312330743677
3140,689974,3510.0312330743677
3150,692165,3510.0312330743677
3160,694356,3510.0312330743677
3170,696547,3510.0312330743677
3180,698738,3510.0312330743677
3190,700929,3510.0312330743677
3200,703120,3510.0312330743677
3210,705311,3510.0312330743677
3220,707502,3510.0312330743677
3230,709693,3510.0312330743677
3240,711884,3510.0312330743677
3250,714075,3510.0312330743677
3260,716266,3510.0312330743677
3270,718457,3510.0312330743677
3280,720648,3510.0312330743677
3290,722839,3510.0312330743677
3300,725030,3510.0312330743677
3310,727221,3511.4841917141944
3320,729412,3510.0312330743677
3330,731603,3510.0312330743677
3340,733794,3510.0312330743677
3350,735985,3510.0312330743677
3360,738176,3510.0312330743677
3370,740367,3510.0312330743677
3380,742558,3510.0312330743677
3390,744749,3510.0312330743677
3400,746940,3510.0312330743677
3410,749131,3510.0312330743677
3420,751322,3510.0312330743677
3430,753513,3510.0312330743677
3440,755704,3510.0312330743677
3450,757895,3510.0312330743677
3460,760086,3510.0312330743677
3470,762277,3510.0312330743677
3480,764468,3510.0312330743677
3490,766659,3510.0312330743677
3500,768850,3510.0312330743677
3510,771041,3510.0312330743677
3520,773232,3510.0312330743677
3530,775423,3510.0312330743677
3540,777614,3510.0312330743677
3550,779805,3510.0312330743677
3560,781996,3510.0312330743677
3570,784187,3510.0312330743677
3580,786378,3510.0312330743677
3590,788569,3510.0312330743677
3600,790760,3510.0312330743677
3610,792951,3521.889292383919
3620,795142,3510.0312330743677
3630,797333,3510.0312330743677
3640,799524,3516.9950347429976
3650,801715,3516.9950347429976
3660,803906,3536.1123117097363
3670,806097,3536.1123117097363
3680,808288,3536.1123117097363
3690,810479,3536.1123117097363
3700,812670,3536.1123117097363
3710,814861,3536.1123117097363
3720,817052,3536.1123117097363
3730,819243,3536.1123117097363
3740,821434,3536.1123117097363
3750,823625,3536.1123117097363
3760,825816,3536.1123117097363
3770,828007,3536.1123117097363
3780,830198,3536.1123117097363
3790,832389,3536.1123117097363
3800,834580,3536.1123117097363
3810,836771,3536.1123117097363
3820,838962,3536.1123117097363
3830,841153,3536.1123117097363
3840,843344,3536.1123117097363
3850,845535,3536.1123117097363
3860,847726,3536.1123117097363
3870,849917,3543.403145018958
3880,852108,3536.1123117097363
3890,854299,3536.1123117097363
3900,856490,3536.1123117097363
3910,858681,3536.1123117097363
3920,860872,3536.1123117097363
3930,863063,3536.1123117097363
3940,865254,3536.1123117097363
3950,867445,3536.1123117097363
3960,869636,3536.1123117097363
3970,871827,3536.1123117097363
3980,874018,3536.1123117097363
3990,876209,3536.1123117097363
4000,878400,3536.1123117097363
4010,880591,3536.1123117097363
4020,882782,3536.1123117097363
4030,884973,3536.1123117097363
4040,887164,3536.1123117097363
4050,889355,3536.1123117097363
4060,891546,3536.1123117097363
4070,893737,3536.1123117097363
4080,895928,3536.1123117097363
4090,898119,3536.1123117097363
4100,900310,3536.1123117097363
4110,902501,3536.1123117097363
4120,904692,3536.1123117097363
4130,906883,3536.1123117097363
4140,909074,3536.1123117097363
4150,911265,3536.1123117097363
4160,913456,3536.1123117097363
4170,915647,3536.1123117097363
4180,917838,3536.1123117097363
4190,920029,3536.1123117097363
4200,922220,3536.1123117097363
4210,924411,3537.5662325924072
4220,926602,3536.1123117097363
4230,928793,3540.803214301817
4240,930984,3536.1123117097363
4250,933175,3536.1123117097363
4260,935366,3536.1123117097363
4270,937557,3536.1123117097363
4280,939748,3536.1123117097363
4290,941939,3536.1123117097363
4300,944130,3536.1123117097363
4310,946321,3546.7641142439024
4320,948512,3548.392716046041
4330,950703,3548.392716046041
4340,952894,3548.392716046041
4350,955085,3548.392716046041
4360,957276,3551.2824487836465
4370,959467,3551.2824487836465
4380,961658,3551.2824487836465
4390,963849,3551.2824487836465
4400,966040,3551.2824487836465
4410,968231,3551.2824487836465
4420,970422,3551.2824487836465
4430,972613,3551.2824487836465
