iters,fevals,fitness
0,1252,2691.910355101607
10,2284,3027.6983460979854
20,3321,3083.7534716867845
30,4367,3236.4989222050094
40,5404,3158.2004178819693
50,6440,3243.303674365173
60,7487,3246.925126840991
70,8524,3281.0444302945994
80,9568,3322.4191046688748
90,10606,3357.2977033698207
100,11651,3297.7582198280975
110,12690,3383.905402240578
120,13734,3347.5742152714047
130,14777,3362.8339795516076
140,15814,3349.667403602986
150,16853,3475.85680718329
160,17893,3374.2681682058433
170,18933,3390.0702362328284
180,19969,3409.6532701954734
190,21015,3412.9176463486438
200,22060,3397.101606025019
210,23100,3409.333885930278
220,24150,3391.6715137546935
230,25178,3406.1148896336745
240,26217,3405.7670059967368
250,27263,3379.319210319699
260,28304,3365.825388682005
270,29348,3387.038852426957
280,30395,3386.530623997049
290,31431,3407.9950263978876
300,32470,3406.6678774382362
310,33515,3434.6009720592597
320,34552,3378.313842292174
330,35591,3385.09867579491
340,36634,3417.543464907831
350,37670,3393.5416782583266
360,38711,3421.3124379425644
370,39750,3421.3124379425644
380,40781,3424.2021706801697
390,41825,3416.0983148348214
400,42864,3390.2940144583145
410,43905,3394.9496134678766
420,44936,3412.0793738352518
430,45975,3434.2675756392264
440,47012,3406.294109123171
450,48052,3410.5803188878635
460,49092,3392.1150553467332
470,50132,3353.9294797043754
480,51172,3379.022582538646
490,52217,3376.94909103492
500,53253,3376.94909103492
510,54298,3374.808719802325
520,55334,3391.121894555919
530,56369,3375.7240804206335
540,57418,3387.700815805186
550,58459,3403.2161131572866
560,59497,3404.844714959425
570,60540,3404.844714959425
580,61582,3408.995578632497
590,62617,3413.513913172241
600,63665,3404.844714959425
610,64706,3413.625903233647
620,65740,3403.2161131572866
630,66784,3413.8652421824872
640,67824,3404.844714959425
650,68864,3404.844714959425
660,69902,3434.769233764229
670,70940,3426.216916306672
680,71989,3427.3461245686362
690,73026,3426.216916306672
700,74071,3427.3461245686362
710,75112,3416.41515591942
720,76160,3410.3244408540613
730,77205,3406.0478665182354
740,78242,3380.6484446666627
750,79284,3412.6512137275804
760,80329,3367.2826638063184
770,81368,3411.022611925442
780,82414,3428.330446722981
790,83450,3412.6512137275804
800,84489,3388.2369508069733
810,85524,3387.881569707416
820,86569,3384.7221247184334
830,87603,3379.961383367093
840,88637,3405.88091543191
850,89680,3408.354329405966
860,90728,3391.1101130611637
870,91770,3383.6704909456644
880,92805,3352.3165458672024
