iters,fevals,fitness
0,33017,3077.6537717894703
10,33018,3077.6537717894703
20,33019,3077.6537717894703
30,33020,3077.6537717894703
40,33021,3077.6537717894703
50,33022,3077.6537717894703
60,33023,3077.6537717894703
70,33024,3077.6537717894703
80,33025,3077.6537717894703
90,33026,3077.6537717894703
100,33027,3077.6537717894703
110,33028,3077.6537717894703
120,33029,3077.6537717894703
130,33030,3077.6537717894703
140,33031,3077.6537717894703
150,33032,3077.6537717894703
160,33033,3077.6537717894703
170,33034,3077.6537717894703
180,33035,3077.6537717894703
190,33036,3077.6537717894703
200,33037,3077.6537717894703
210,33038,3077.6537717894703
220,33039,3077.6537717894703
230,33040,3077.6537717894703
240,33041,3077.6537717894703
250,33042,3077.6537717894703
260,33043,3077.6537717894703
270,33044,3077.6537717894703
280,33045,3077.6537717894703
290,33046,3077.6537717894703
300,33047,3077.6537717894703
310,33048,3077.6537717894703
320,33049,3077.6537717894703
330,33050,3077.6537717894703
340,33051,3077.6537717894703
350,33052,3077.6537717894703
360,33053,3077.6537717894703
370,33054,3077.6537717894703
380,33055,3077.6537717894703
390,33056,3077.6537717894703
400,33057,3077.6537717894703
410,33058,3077.6537717894703
420,33059,3077.6537717894703
430,33060,3077.6537717894703
440,33061,3077.6537717894703
450,33062,3077.6537717894703
460,33063,3077.6537717894703
470,33064,3077.6537717894703
480,33065,3077.6537717894703
490,33066,3077.6537717894703
500,33067,3077.6537717894703
510,33068,3077.6537717894703
520,33069,3077.6537717894703
530,33070,3077.6537717894703
540,33071,3077.6537717894703
550,33072,3077.6537717894703
560,33073,3077.6537717894703
570,33074,3077.6537717894703
580,33075,3077.6537717894703
590,33076,3077.6537717894703
600,33077,3077.6537717894703
610,33078,3077.6537717894703
620,33079,3077.6537717894703
630,33080,3077.6537717894703
640,33081,3077.6537717894703
650,33082,3077.6537717894703
660,33083,3077.6537717894703
670,33084,3077.6537717894703
680,33085,3077.6537717894703
690,33086,3077.6537717894703
700,33087,3077.6537717894703
710,33088,3077.6537717894703
720,33089,3077.6537717894703
730,33090,3077.6537717894703
740,33091,3077.6537717894703
750,33092,3077.6537717894703
760,33093,3077.6537717894703
770,33094,3077.6537717894703
780,33095,3077.6537717894703
790,33096,3077.6537717894703
800,33097,3077.6537717894703
810,33098,3077.6537717894703
820,33099,3077.6537717894703
830,33100,3077.6537717894703
840,33101,3077.6537717894703
850,33102,3077.6537717894703
860,33103,3077.6537717894703
870,33104,3077.6537717894703
880,33105,3077.6537717894703
890,33106,3077.6537717894703
900,33107,3077.6537717894703
910,33108,3077.6537717894703
920,33109,3077.6537717894703
930,33110,3077.6537717894703
940,33111,3077.6537717894703
950,33112,3077.6537717894703
960,33113,3077.6537717894703
970,33114,3077.6537717894703
980,33115,3077.6537717894703
990,33116,3077.6537717894703
1000,33117,3077.6537717894703
1010,33118,3077.6537717894703
1020,33119,3077.6537717894703
1030,33120,3077.6537717894703
1040,33121,3077.6537717894703
1050,33122,3077.6537717894703
1060,33123,3077.6537717894703
1070,33124,3077.6537717894703
1080,33125,3077.6537717894703
1090,33126,3077.6537717894703
1100,33127,3077.6537717894703
1110,33128,3077.6537717894703
1120,33129,3077.6537717894703
1130,33130,3077.6537717894703
1140,33131,3077.6537717894703
1150,33132,3077.6537717894703
1160,33133,3077.6537717894703
1170,33134,3077.6537717894703
1180,33135,3077.6537717894703
1190,33136,3077.6537717894703
1200,33137,3077.6537717894703
1210,33138,3077.6537717894703
1220,33139,3077.6537717894703
1230,33140,3077.6537717894703
1240,33141,3077.6537717894703
1250,33142,3077.6537717894703
1260,33143,3077.6537717894703
1270,33144,3077.6537717894703
1280,33145,3077.6537717894703
1290,33146,3077.6537717894703
1300,33147,3077.6537717894703
1310,33148,3077.6537717894703
1320,33149,3077.6537717894703
1330,33150,3077.6537717894703
1340,33151,3077.6537717894703
1350,33152,3077.6537717894703
1360,33153,3077.6537717894703
1370,33154,3077.6537717894703
1380,33155,3077.6537717894703
1390,33156,3077.6537717894703
1400,33157,3077.6537717894703
1410,33158,3077.6537717894703
1420,33159,3077.6537717894703
1430,33160,3077.6537717894703
1440,33161,3077.6537717894703
1450,33162,3077.6537717894703
1460,33163,3077.6537717894703
1470,33164,3077.6537717894703
1480,33165,3077.6537717894703
1490,33166,3077.6537717894703
1500,33167,3077.6537717894703
1510,33168,3077.6537717894703
1520,33169,3077.6537717894703
1530,33170,3077.6537717894703
1540,33171,3077.6537717894703
1550,33172,3077.6537717894703
1560,33173,3077.6537717894703
1570,33174,3077.6537717894703
1580,33175,3077.6537717894703
1590,33176,3077.6537717894703
1600,33177,3077.6537717894703
1610,33178,3077.6537717894703
1620,33179,3077.6537717894703
1630,33180,3077.6537717894703
1640,33181,3077.6537717894703
1650,33182,3077.6537717894703
1660,33183,3077.6537717894703
1670,33184,3077.6537717894703
1680,33185,3077.6537717894703
1690,33186,3077.6537717894703
1700,33187,3077.6537717894703
1710,33188,3077.6537717894703
1720,33189,3077.6537717894703
1730,33190,3077.6537717894703
1740,33191,3077.6537717894703
1750,33192,3077.6537717894703
1760,33193,3077.6537717894703
1770,33194,3077.6537717894703
1780,33195,3077.6537717894703
1790,33196,3077.6537717894703
1800,33197,3077.6537717894703
1810,33198,3077.6537717894703
1820,33199,3077.6537717894703
1830,33200,3077.6537717894703
1840,33201,3077.6537717894703
1850,33202,3077.6537717894703
1860,33203,3077.6537717894703
1870,33204,3077.6537717894703
1880,33205,3077.6537717894703
1890,33206,3077.6537717894703
1900,33207,3077.6537717894703
1910,33208,3077.6537717894703
1920,33209,3077.6537717894703
1930,33210,3077.6537717894703
1940,33211,3077.6537717894703
1950,33212,3077.6537717894703
1960,33213,3077.6537717894703
1970,33214,3077.6537717894703
1980,33215,3077.6537717894703
1990,33216,3077.6537717894703
2000,33217,3077.6537717894703
2010,33218,3077.6537717894703
2020,33219,3077.6537717894703
2030,33220,3077.6537717894703
2040,33221,3077.6537717894703
2050,33222,3077.6537717894703
2060,33223,3077.6537717894703
2070,33224,3077.6537717894703
2080,33225,3077.6537717894703
2090,33226,3077.6537717894703
2100,33227,3077.6537717894703
2110,33228,3077.6537717894703
2120,33229,3077.6537717894703
2130,33230,3077.6537717894703
2140,33231,3077.6537717894703
2150,33232,3077.6537717894703
2160,33233,3077.6537717894703
2170,33234,3077.6537717894703
2180,33235,3077.6537717894703
2190,33236,3077.6537717894703
2200,33237,3077.6537717894703
2210,33238,3077.6537717894703
2220,33239,3077.6537717894703
2230,33240,3077.6537717894703
2240,33241,3077.6537717894703
2250,33242,3077.6537717894703
2260,33243,3077.6537717894703
2270,33244,3077.6537717894703
2280,33245,3077.6537717894703
2290,33246,3077.6537717894703
2300,33247,3077.6537717894703
2310,33248,3077.6537717894703
2320,33249,3077.6537717894703
2330,33250,3077.6537717894703
2340,33251,3077.6537717894703
2350,33252,3077.6537717894703
2360,33253,3077.6537717894703
2370,33254,3077.6537717894703
2380,33255,3077.6537717894703
2390,33256,3077.6537717894703
2400,33257,3077.6537717894703
2410,33258,3077.6537717894703
2420,33259,3077.6537717894703
2430,33260,3077.6537717894703
2440,33261,3077.6537717894703
2450,33262,3077.6537717894703
2460,33263,3077.6537717894703
2470,33264,3077.6537717894703
2480,33265,3077.6537717894703
2490,33266,3077.6537717894703
2500,33267,3077.6537717894703
2510,33268,3077.6537717894703
2520,33269,3077.6537717894703
2530,33270,3077.6537717894703
2540,33271,3077.6537717894703
2550,33272,3077.6537717894703
2560,33273,3077.6537717894703
2570,33274,3077.6537717894703
2580,33275,3077.6537717894703
2590,33276,3077.6537717894703
2600,33277,3077.6537717894703
2610,33278,3077.6537717894703
2620,33279,3077.6537717894703
2630,33280,3077.6537717894703
2640,33281,3077.6537717894703
2650,33282,3077.6537717894703
2660,33283,3077.6537717894703
2670,33284,3077.6537717894703
2680,33285,3077.6537717894703
2690,33286,3077.6537717894703
2700,33287,3077.6537717894703
2710,33288,3077.6537717894703
2720,33289,3077.6537717894703
2730,33290,3077.6537717894703
2740,33291,3077.6537717894703
2750,33292,3077.6537717894703
2760,33293,3077.6537717894703
2770,33294,3077.6537717894703
2780,33295,3077.6537717894703
2790,33296,3077.6537717894703
2800,33297,3077.6537717894703
2810,33298,3077.6537717894703
2820,33299,3077.6537717894703
