iters,fevals,fitness,times
0,21133208,76.0
10,21135399,74.0
20,21137590,77.0
30,21139781,77.0
40,21141972,79.0
50,21144163,84.0
60,21146354,87.0
70,21148545,87.0
80,21150736,89.0
90,21152927,89.0
100,21155118,91.0
110,21157309,92.0
120,21159500,91.0
130,21161691,91.0
140,21163882,91.0
150,21166073,91.0
160,21168264,91.0
170,21170455,91.0
180,21172646,94.0
190,21174837,96.0
200,21177028,97.0
210,21179219,94.0
220,21181410,96.0
230,21183601,96.0
240,21185792,94.0
250,21187983,98.0
260,21190174,97.0
270,21192365,98.0
280,21194556,99.0
290,21196747,98.0
300,21198938,98.0
310,21201129,100.0
320,21203320,100.0
330,21205511,98.0
340,21207702,98.0
350,21209893,101.0
360,21212084,101.0
370,21214275,101.0
380,21216466,104.0
390,21218657,104.0
400,21220848,104.0
410,21223039,101.0
420,21225230,104.0
430,21227421,104.0
440,21229612,103.0
450,21231803,101.0
460,21233994,101.0
470,21236185,104.0
480,21238376,101.0
490,21240567,104.0
500,21242758,101.0
510,21244949,101.0
520,21247140,101.0
530,21249331,101.0
540,21251522,101.0
550,21253713,101.0
560,21255904,101.0
570,21258095,101.0
580,21260286,104.0
590,21262477,105.0
600,21264668,104.0
610,21266859,105.0
620,21269050,105.0
630,21271241,105.0
640,21273432,105.0
650,21275623,105.0
660,21277814,106.0
670,21280005,105.0
680,21282196,106.0
690,21284387,106.0
700,21286578,106.0
710,21288769,106.0
720,21290960,106.0
730,21293151,106.0
740,21295342,106.0
750,21297533,106.0
760,21299724,106.0
770,21301915,106.0
780,21304106,106.0
790,21306297,106.0
800,21308488,106.0
810,21310679,106.0
820,21312870,106.0
830,21315061,106.0
840,21317252,106.0
850,21319443,106.0
860,21321634,106.0
870,21323825,106.0
880,21326016,106.0
890,21328207,107.0
900,21330398,106.0
910,21332589,106.0
920,21334780,107.0
930,21336971,106.0
940,21339162,106.0
950,21341353,106.0
960,21343544,107.0
970,21345735,107.0
980,21347926,108.0
990,21350117,108.0
1000,21352308,108.0
1010,21354499,108.0
1020,21356690,108.0
1030,21358881,108.0
1040,21361072,108.0
1050,21363263,108.0
1060,21365454,108.0
1070,21367645,108.0
1080,21369836,108.0
1090,21372027,108.0
1100,21374218,108.0
1110,21376409,108.0
1120,21378600,108.0
1130,21380791,108.0
1140,21382982,108.0
1150,21385173,108.0
1160,21387364,108.0
1170,21389555,108.0
1180,21391746,108.0
1190,21393937,108.0
1200,21396128,108.0
1210,21398319,108.0
1220,21400510,108.0
1230,21402701,108.0
1240,21404892,108.0
1250,21407083,108.0
1260,21409274,108.0
1270,21411465,108.0
1280,21413656,108.0
1290,21415847,108.0
1300,21418038,108.0
1310,21420229,108.0
1320,21422420,108.0
1330,21424611,108.0
1340,21426802,108.0
1350,21428993,108.0
1360,21431184,108.0
1370,21433375,108.0
1380,21435566,108.0
1390,21437757,108.0
1400,21439948,108.0
1410,21442139,108.0
1420,21444330,108.0
1430,21446521,108.0
1440,21448712,108.0
1450,21450903,108.0
1460,21453094,108.0
1470,21455285,108.0
1480,21457476,108.0
1490,21459667,108.0
1500,21461858,108.0
1510,21464049,108.0
1520,21466240,108.0
1530,21468431,108.0
1540,21470622,108.0
1550,21472813,108.0
1560,21475004,108.0
1570,21477195,108.0
1580,21479386,108.0
1590,21481577,108.0
1600,21483768,108.0
1610,21485959,108.0
1620,21488150,108.0
1630,21490341,108.0
1640,21492532,108.0
1650,21494723,108.0
1660,21496914,108.0
1670,21499105,109.0
1680,21501296,108.0
1690,21503487,108.0
1700,21505678,108.0
1710,21507869,109.0
1720,21510060,109.0
1730,21512251,109.0
1740,21514442,109.0
1750,21516633,109.0
1760,21518824,109.0
1770,21521015,109.0
1780,21523206,109.0
1790,21525397,109.0
1800,21527588,109.0
1810,21529779,110.0
1820,21531970,109.0
1830,21534161,109.0
1840,21536352,109.0
1850,21538543,110.0
1860,21540734,109.0
1870,21542925,109.0
1880,21545116,109.0
1890,21547307,109.0
1900,21549498,110.0
1910,21551689,110.0
1920,21553880,109.0
1930,21556071,110.0
1940,21558262,110.0
1950,21560453,111.0
1960,21562644,110.0
1970,21564835,110.0
1980,21567026,110.0
1990,21569217,110.0
2000,21571408,110.0
2010,21573599,110.0
2020,21575790,110.0
2030,21577981,110.0
2040,21580172,110.0
2050,21582363,110.0
2060,21584554,110.0
2070,21586745,110.0
2080,21588936,110.0
2090,21591127,110.0
2100,21593318,110.0
2110,21595509,110.0
2120,21597700,110.0
2130,21599891,110.0
2140,21602082,110.0
2150,21604273,110.0
2160,21606464,110.0
2170,21608655,110.0
2180,21610846,110.0
2190,21613037,110.0
2200,21615228,110.0
2210,21617419,110.0
2220,21619610,111.0
2230,21621801,110.0
2240,21623992,112.0
2250,21626183,110.0
2260,21628374,110.0
2270,21630565,110.0
2280,21632756,111.0
2290,21634947,111.0
2300,21637138,111.0
2310,21639329,111.0
2320,21641520,111.0
2330,21643711,112.0
2340,21645902,113.0
2350,21648093,113.0
2360,21650284,113.0
2370,21652475,113.0
2380,21654666,113.0
2390,21656857,113.0
2400,21659048,113.0
2410,21661239,113.0
2420,21663430,113.0
2430,21665621,113.0
2440,21667812,113.0
2450,21670003,113.0
2460,21672194,113.0
2470,21674385,113.0
2480,21676576,113.0
2490,21678767,113.0
2500,21680958,113.0
2510,21683149,113.0
2520,21685340,113.0
2530,21687531,113.0
2540,21689722,113.0
2550,21691913,113.0
2560,21694104,113.0
2570,21696295,113.0
2580,21698486,113.0
2590,21700677,113.0
2600,21702868,113.0
2610,21705059,113.0
