iters,fevals,fitness,times
0,66021,68.0
10,66022,68.0
20,66023,69.0
30,66024,69.0
40,66025,69.0
50,66026,72.0
60,66027,72.0
70,66028,72.0
80,66029,72.0
90,66030,72.0
100,66031,75.0
110,66032,75.0
120,66033,75.0
130,66034,75.0
140,66035,75.0
150,66036,75.0
160,66037,75.0
170,66038,75.0
180,66039,75.0
190,66040,75.0
200,66041,75.0
210,66042,75.0
220,66043,75.0
230,66044,76.0
240,66045,76.0
250,66046,77.0
260,66047,77.0
270,66048,77.0
280,66049,77.0
290,66050,77.0
300,66051,77.0
310,66052,77.0
320,66053,77.0
330,66054,77.0
340,66055,77.0
350,66056,77.0
360,66057,77.0
370,66058,77.0
380,66059,77.0
390,66060,78.0
400,66061,78.0
410,66062,80.0
420,66063,80.0
430,66064,80.0
440,66065,80.0
450,66066,80.0
460,66067,80.0
470,66068,82.0
480,66069,82.0
490,66070,82.0
500,66071,82.0
510,66072,82.0
520,66073,82.0
530,66074,83.0
540,66075,83.0
550,66076,83.0
560,66077,83.0
570,66078,83.0
580,66079,83.0
590,66080,86.0
600,66081,86.0
610,66082,86.0
620,66083,86.0
630,66084,86.0
640,66085,86.0
650,66086,89.0
660,66087,90.0
670,66088,90.0
680,66089,90.0
690,66090,90.0
700,66091,90.0
710,66092,90.0
720,66093,90.0
730,66094,90.0
740,66095,90.0
750,66096,90.0
760,66097,90.0
770,66098,90.0
780,66099,90.0
790,66100,90.0
800,66101,90.0
810,66102,90.0
820,66103,90.0
830,66104,90.0
840,66105,90.0
850,66106,90.0
860,66107,90.0
870,66108,90.0
880,66109,90.0
890,66110,90.0
900,66111,90.0
910,66112,90.0
920,66113,90.0
930,66114,90.0
940,66115,90.0
950,66116,90.0
960,66117,90.0
970,66118,90.0
980,66119,90.0
990,66120,90.0
1000,66121,90.0
1010,66122,90.0
1020,66123,90.0
1030,66124,90.0
1040,66125,90.0
1050,66126,90.0
1060,66127,92.0
1070,66128,92.0
1080,66129,92.0
1090,66130,92.0
1100,66131,92.0
1110,66132,92.0
1120,66133,92.0
1130,66134,92.0
1140,66135,92.0
1150,66136,92.0
1160,66137,92.0
1170,66138,92.0
1180,66139,92.0
1190,66140,92.0
1200,66141,92.0
1210,66142,94.0
1220,66143,94.0
1230,66144,94.0
1240,66145,94.0
1250,66146,94.0
1260,66147,94.0
1270,66148,94.0
1280,66149,94.0
1290,66150,94.0
1300,66151,94.0
1310,66152,94.0
1320,66153,94.0
1330,66154,94.0
1340,66155,94.0
1350,66156,94.0
1360,66157,94.0
1370,66158,94.0
1380,66159,94.0
1390,66160,94.0
1400,66161,94.0
1410,66162,94.0
1420,66163,94.0
1430,66164,94.0
1440,66165,94.0
1450,66166,94.0
1460,66167,94.0
1470,66168,94.0
1480,66169,94.0
1490,66170,94.0
1500,66171,94.0
1510,66172,94.0
1520,66173,94.0
1530,66174,94.0
1540,66175,94.0
1550,66176,94.0
1560,66177,94.0
1570,66178,94.0
1580,66179,94.0
1590,66180,94.0
1600,66181,101.0
1610,66182,101.0
1620,66183,101.0
1630,66184,101.0
1640,66185,101.0
1650,66186,101.0
1660,66187,101.0
1670,66188,101.0
1680,66189,101.0
1690,66190,101.0
1700,66191,101.0
1710,66192,102.0
1720,66193,102.0
1730,66194,102.0
1740,66195,102.0
1750,66196,102.0
1760,66197,102.0
1770,66198,102.0
1780,66199,102.0
1790,66200,102.0
1800,66201,102.0
1810,66202,102.0
1820,66203,103.0
1830,66204,103.0
1840,66205,103.0
1850,66206,103.0
1860,66207,103.0
1870,66208,103.0
1880,66209,103.0
1890,66210,103.0
1900,66211,103.0
1910,66212,103.0
1920,66213,103.0
